text,gender
I'm hoping the five year sanctioning agreement will help NASCAR make the schedule more diverse after 2020.  https://t.co/04fRpMTNVk,male
"America is based on Capitalism people are Free to enjoy the Fruits of their Labor.
Liberals looking for a Free Ride. https://t.co/HpheHgtJqq",male
"@OrwiteTreacle Yeah, and that was thanks to the pasty-eating derby bottler anyway. #unforgiven",female
@Richboyhawkins1 @debswim2010 @DolphinEret only thing I can think of got caught in a block flurry. new baby and Im sure thats his focus now,male
@RyanSebesta wait is that me or chandler? The moves look the same. https://t.co/DMLFUT0qEU,female
"This issue will have a negative impact on the ANC.
#JFactor",male
@myanc_ Mantashe must just go fuck his ANC and the so called listening fucking government. This is patronage of the worst kind. Nxaa!!!,male
@andyfitzpaddy @BraidenHT Yes its pushed front and centre by her amazing bra,male
Only hate the road when you're missin home,female
Watching an episode of Family Guy in Australia with Kurt Cobain and eating some biscuits what do you want more out of life _Ù»_ÙÒ¼,female
"And you can honor cultures without ""channeling your inner [insert race]"" or ""feeling ethnic"".",male
"kim k west had a Troop Beverly Hills themed baby shower and ok, that is cute af + really creative Ï¬",female
"@ThorThe_God Loki looked up and shook his head ""i was merely thinking"" he said before raising to his feet. He made his way to the side+",male
"Monkeys With Smaller Testicles Scream Louder to Compensate, Study Finds: The Beauty of Science! #NowWeKnow https://t.co/uAhaNVDX6X",female
5 things you can do tonight to reverse the U.S. food crisis https://t.co/8fIDEMz1tN #mashable,male
I think when I get home on Thursday I'm gonna start editing. Kpop and Supernatural probably. What do you gu... https://t.co/Bz1kllBStp,female
Colt here! Be sure to Nicole &amp; Colt Edwards group! 10/27 we will start our fun and games for the Release of RECKLESS!...,male
@susannareid100 @davidwalliams You looked sensational  and classy Susanna,male
"I told me mom to buy me and inmate costume for Halloween and she said ""why? It'll be reality soon enough"" _Ù÷â thx ma",female
Go on #WorcestershireHour. Give me your suggestions. Three children and a dog - where should we go tomorrow?,female
"heck out today's hot deal's, deal of the day and closeout's for the day Click Here: https://t.co/uOA32Y3Bul",male
People like that are why Yelp and online reviews are completely fugazi to me. How you complain about getting hooked up,male
Hunting for tips to make better choices at the grocery? This study shows eating a #healthy snack 1st helps! https://t.co/bOMzZYzUDJ,female
"Two kinds of people exist in the world. Those who ADMIRE the rose, and those who dare to go through the thorns and pain to ACHIEVE the rose.",male
"# the truth is now out
 https://t.co/MmYnH5DJYI",male
"""Spectre"" world premiere: Daniel Craig and his co-stars certainly looked like special agents in their sophisti... https://t.co/GDH22Tm1DS",male
".@ben2know Yeah, right. Never mind the million other reasons, including this: 
#Obama and the #ThirdIntifada 
https://t.co/fdCCKWJF0X",female
"whats with everyone making cake that look like cars,computer and cameras all of a sudden today",male
In this day and age no one respects if your in a relationship or not.. Everyone is gunna go for whoever they want and people wonder why the,male
idc this the goat still https://t.co/s86cnMCtoX,female
The Best Fashion Instagrams of the Week: Nicki Minaj and More at Fashion Week https://t.co/yeODgdY8c8,female
These 6 apps are free and are amazing... https://t.co/zjvuFe2NGw https://t.co/pYr8S9gDcV,male
"there are people who tweet amongst us who rate Captain America as a superhero, and that is a scary thought",male
Wounds heal but scars remain the same well what about open bleeding wounds?,female
"@atiretsilb im tired of this shit mane 
i cant slay these skin fit dresses and shit",female
"Doctors and lawyers: Computers are coming for your jobs, too - https://t.co/CH2BcXP5xl",male
I liked a @YouTube video from @mrtonymui https://t.co/bNDjK6zMw5 @UNDERARMOUR CURRY 2 - THE CHEF IS BACK!,male
and today's weather was also amazing _Ù÷Ûü,female
I obsess over my boyfriend and I'm not sorry cause if you were the one dating him u would too,female
"""and this is where I used to fail at little league"" https://t.co/FiXMJCTqmc",female
@don67428 @arabieIla can I see the pic,male
As much as my mom and I don't get along most of the time. I swear I would be lost if I didn't have someone with all of the answers/support,female
@humbug83 thanks Sophie just had a phone call from my mum. He'd had cancer for a few years and we knew he couldn't fight much longer X,male
"You can fall in love many times with many different people. However, I don't think that you can fall in love the same way twice.",female
"just listened to adeles song and felt nothing, heartless???",female
Nariah and her version of stupid be killing me,female
@RobKoenigTennis ÛÏCertainly not a sport for sissiesÛ  &lt;&lt; new t-shirt Rob? Just kidding. That line had me rolling in laughter on the floor!,male
"@MrsR_Jetsfan yes, on my Jets page on fb someone mentioned something about him and not showing up to practise. Get over it people. Seriously",female
"@Maaikees I tend to agree, but in the end money is also a means of getting food and other necessary stuff, and people need that regardless!",male
@donnariguero 2 months till I'm home and get to see you _ÙÕÏ_ÙÕÏ_ÙÕÏ,female
@anniefinn I get excited when I've no 5.45am session in the morning and get to lie in til 6am!,male
Submit your #blog posts for a chance to be Featured on Pins of the Week! #blogging https://t.co/VmsJ5zMybY https://t.co/9ZzkSITayz,female
The great argument of our time in #costume form for #Halloween https://t.co/sIhnXJkMPC https://t.co/lswKxtE4W4,female
@dholloway3279 I HATE GOATS AND LOVE US MARINES I'M GOOD GIRL_ÙÕÜ,female
"You messed with the wrong couple, douche bag. _ÙÐ¥_Ù__ÙÔ__Ù_",female
Just watched the dire boredom that was the tax credit debate and though I am pleased that Dodgy Dave and Georgie... https://t.co/iPXRa0QJ5E,male
When you on set and the light hits you like fleeeeeek _ÙÕÜ https://t.co/onHzah44Lo,female
I want to spend sunrises and sunsets along your side,male
When you mad at bae and you hit him with the _ÙÝÜ emoji,female
"Cher ranks the GOP field (spoiler: 'Ted Cruz = Devil' and 'Trump is a giant')
https://t.co/kIs8tuo9jM",female
We're keeping the chickens for eggs and meat though,male
Trolling and Losing: https://t.co/JjKsjmOVMw,male
"Some people just do whatever they feel like to get whatever they want, and don't even care about the people they step on in the process",male
So excited to start the Islam section in my religions class _Ù_Ò_Ù_Ò_Ù_Ò,female
"41 years ago today, TV Guide, The Waltons https://t.co/UFPFAzFhdS",male
"@truthismaster so true. Myself and @ContraFacta got verbally assaulted by one yesterday. Offered her reason, received venom &amp; block instead.",female
"@G_O_R_D Like the whole premise, basically.
Puts me in mind of that one SMBC comic https://t.co/4RnEnqdUAy",female
"@Wescreamfour Crush, C4, youth elite, ladies of teal, senior elite, lady elite and coed elite _Ù÷_Ù÷_Ù÷_Ù÷_ÙÔ_ÙÈ",female
@pats4Iifebb Well Brandon Lafell and Brandon Marshall are 2 diff caliber players,male
"@TessaHutchy Banned in a lot of countries. Made the mistake of reading the plot awhile ago. Gross, pointless, etc.",female
They have cheesecake cookies here and that's what I'm going to miss the most,female
@NorthJerseybrk this is just poor. All afternoon cops were trying to keep the photographers away from the kids but you had to sneak one in,male
"My parents have payed for a 2 week food shop, new clothes, 3 meals out and a 1l bottle of Smirnoff, can they visit every weekend please _ÙÕ_",male
The Impudence of Rabiu Kwakwanso and his Fulani brothers - by FFK: Written by Femi Fani-Kayode...Read below..I... https://t.co/pkRd6POPCo,male
I'm glad I'm not bitter AND broke.. just bitter _Ù÷__Ù÷â_Ù÷â,female
4 Simple Metrics to Prove the Value of Your Social Media Marketing Strategy https://t.co/sBPNWGT0wi,female
My heart feels fuzzy and shouldn't... But it also doesn't know what it wants... Or when it's gonna decide. This is T O U G H,female
"get free #iTunes, #Amazon, #Xbox and other gift cards with @AppBounty. Use my link for a bonus: https://t.co/G20xW7zYC5",male
Skellys Farm.. With the kiddos.. The kids thought it was funny Mr Long &amp; put our faces with theirs _ÓÙ_Î©_Î»_¨Ñ_Ù__ÎÂ,female
"@ImpactGroupDT @38_degrees Universality as a reflection of national identity, separate from state and of progressive public interest.",male
"Mmmm @Adrian_Butler13 it's ""the Sauce"" _Ù÷ https://t.co/yxOJ4F03yo",female
@jshaww123 @KingRasta__ get the chicken and shrimp. It'll change your life.,male
"I wanna scream ""was I the only one that peeped that nastiness???!!""",female
@iTunesTV:Û_ me my proceeds. All I wanted was money to eat while they were making me sleep on the streets. Make note that they have plentyÛ_,male
Sounding like my rules interpretation was wrong ... but I correctly predicted the fumble call ... so I'm gonna say I was half-right!,male
"Thailand, Sri Lanka Set to Boost Ties with Sirisena Visit | The Diplomat https://t.co/40sUI9zDKz",male
"Which #Bond took out the most, martinied the most and seduced the most? Here's a fun graph. Lazenby was a hound. https://t.co/lF9XMDouk8",male
where's mady?? her ocd needs to kick in &amp; come over and clean my room _Ù÷_Ù÷_Ù÷_Ù÷_Ù÷,female
5 people followed me and 3 people unfollowed me // automatically checked by https://t.co/lpAKBvAKQf,female
I Just Voted for @onedirection for #ArtistOfTheYear Go Here https://t.co/2zg8rxaiUW and Vote for your favorite! Neuf,female
"@Harry_Styles the words will never be strong enough for describe all the love, respect and admiration i feel for you...follow me pls? x8338",male
@the_revellator and this is based on what? Pre season?,male
Part of the reason why I don't tweet as much is the auto correct feature on my cellular device.,male
Remember when joey took the L when he made that lil b diss track,male
The broken look in my mother's eyes and the disappointment in her voice when I showed her my new sailor moon statue was honestly worth it,female
"ICYMI: @ReadOregonian on the attack of ÛÏClasszillaÛ at Lewis &amp; Clark, other #pdx colleges: https://t.co/CYWY3g4qAi via @oregonian",female
@freeheldmovie If you are not an american actress the academy should not consider an award.,female
@JonathanBirek he's gonna be our PR guy for the players so nobody gets suspended or anything,female
@RSalJenn and I so knew that the offscreen shit will affect somehow onscreen !,male
caught somewhere between being tired of your bullshit and being too sensitive,female
"I am a lion and I want to be free
Do you see a lion when you look inside of me?",female
Yay I'm in to win a å£20 amazon voucher with @frazzledmumblog and @carsonsmummy https://t.co/gPS5kXoxUV,female
"Hii @Harry_Styles
How was your day? You deserve 
all the happiness, thank you 
for your kind and caring heart.
Mind following me?
-30.730",female
Had an amazing day with @Emily_Onagoruwa and @xkatiesaunders at @ZozeeBo book signing.Thanks for a great day guys xx https://t.co/rXfvcgjtlI,female
"When you have no plans for Halloween, oh wait Netflix is the plan _ÙÔÈ_ÙÔÈ",male
American apparel have this velvet wrap top in rn and I need it,female
i just made a policy paper on the refugee crisis in israel basing it all on this one humanitarian org thats helping refugees in europe nice,male
Photo: The Future of the Internet - Stanford Continuing Studies Program | Computer Science |384229952: The... https://t.co/ob6PlWD3du,female
"So I've never been hit by a car, and I've never gotten stitches before and both happened within 24 hours. Raaaaad.",female
I can't agree with this because the movies https://t.co/grTLrMp9v0,male
Oh my god I thought Maisie Williams followed me for a second because of someone's profile picture and username. Brb dreams are crushed,female
@rtpubertygoals @Greghoran87 you're the best brother ever !,female
I can't hold back i gotta live life...go and get everything that i desire,male
@JoshuaAaDaniels we went through it that time i called you a narcissist and you solemnly agreed,female
@CriminalCosta @Yedlinho and that hahaha,male
really we should just go there for the turkey snasuage bc the veggies at otay farms are waaay better priced than those at vons,female
"@RealCFrampton @NiallOfficial yes for the ram on the pick, COYRS!!!",male
@TheRealStanLee @TheRealStanLee My artist is called Metanoiz. They are incredibly talented and original. I can send you links and info.,male
The Advantages of Dating After Forty! https://t.co/uYJqtOhmQA,male
@DeFy_LouZy and show me the ways.,male
The Impudence of Rabiu Kwakwanso and his Fulani brothers - by FFK: Written by Femi Fani-Kayode...Read below..I... https://t.co/8KDTU0O1fb,male
Tally the plus whole wide world relating to brainchild social science over and above iphone 4 16gb sim unclasp: lXdaEo,male
please lord help those who think they're the cutest shits vamping in the parking lot. @ 90% of WHS,female
"Set de fotos: dukeofatreides: ÛÏIt was a question about duty ÛÓour commitments to causes, and to each other,... https://t.co/wDmlbCynDi",male
This Is How Colors of Your Brand Affect Conversions and Engagement https://t.co/tNb9YIKX0v,male
i updated my twitter app and it still won't let me make one of those polls... _Ù÷©,female
Sex And Love: 4 very difficult but orgasm-guaranteed sex positions via @AmeboApp https://t.co/ESCk9xp4N2,male
"@CeresArabs The problem isnt necessarily the turnover, but who replaced those departed players. If Jackie would of took ST money and bought",male
you talk to them and notice the members of their group are acting weird and your bias is blushing. you then find out they're in love with u,male
I hope he didn't get fat and gross like the Spineshank vocalist. That was really sad.,female
Seriously love Trent and Justin. Would do anything for those dudes.,male
Off the see Motley CrÌ_e and Mr Cooper next week. Can't believe how fast that's come around!,male
I just whipped the mustang for the first time and lemme tell ya...it was not that bad,female
Why schedule a 2:15 and not except me in the office till 5:00,male
"Bcos Uche no go talk bah""@daintypharlley: ask amara ""@Hai_ingrid: Sey. Uche. and Amara. dey date?""""",female
@EspinosaHugz1 my head hurts and I keep getting super dizzy. _Ù÷Ó,female
There's always that feeling that you know you could do something and everyone you know would instantly stop talking to you.,male
John cena vines are the best_Ù÷â_Ù÷â_Ù÷â,female
"Parties and parades are not necessary. If you know me, you'll know that it's the little things that count",female
"@parkhyunae501 I just listened to the entire album and I'm about to smash my laptop, which song was good to you??",male
@TylersVoice2You I'm doing ok.  How are you? Yea I remember that. I'm glad you're getting it. It's a crucial thing to have seeing the world,male
Europe Fashion Men's And Women Wears......: The  Most Famous Edge Minutes of All Time https://t.co/ILhrSjl7SW,female
"Went and got a towel. Put it under me. Got naked. Slept. 
Woke up with stiff hair.",female
"@Harry_Styles

I like causing trouble up in hotel rooms
and having secret little rendez vous
So I'm perfect for you_

Follow me?÷È
570",female
"Everytime i wanna talk to her about literally anything, i get excited and cant talk. Maybe that's a sign. Maybe I DON'T FUCKING DESERVE IT_Ù÷Ê_Ù÷_",male
"Its the fact a canny swim and sophie turns around and goes ""you swimmed when you were sperm""",female
@kirokochi thank you kii _Ù÷__ÙÕ_ i still couldn't sleep because of the headache,female
@WestCheshireFB @PortsmouthCath @c_of_e @PublicIssues @churchpoverty nauseating to read anyone connected to religion speaking of morals .,male
Is anyone selling a @thebottlemen ticket for the Edinburgh show ? Pweeeeese!xoxo,female
@glynnisu Very quietly and under convenient disguise of student crime.,male
RIP Oti... Sorry Ally fed you Cheerios and you died in ur cereal bowl bc we couldn't afford a real tank or food 4 u https://t.co/5mTO1Mjy55,female
"Photoset: chaosophia218: Sidney Hall - Signs of the Zodiac,åÊÛÏUraniaÛªs MirrorÛ, 1824. https://t.co/hcUmcgp5NF",male
Forgetting yourself for the sake of serving and uplifting others is difficult. Especially when you need uplifting yourself. #charity,male
say goals again and I'm unstanning https://t.co/PY230EeULA,female
Police Wife: The Secret Epidemic of Police Domestic Violence https://t.co/jLRrExwYtV,female
@ShadyVampire01 I don't know why he accepted all the proposal of them why why why????,male
all ive done today is lie around and homework tbh,female
@KennedyKr_is My house is really old and really small (40' x 24'). It's time to upgrade. I'll cut my own logs this spring for some lumber.,male
'Fired by mum and dad' makes me feel like I have my shit together,female
"Listen #Live: https://t.co/IHj6J6QaQz Best Talk Radio Modern Day on #Girlfriends on #money, #sex, #dating and #love.",male
I Just Voted for @justinbieber for #ArtistOfTheYear Go Here https://t.co/59pNNKWtq9 and Vote for your favorite!  #AMAs #JustinBieber,male
"Build #businessonline, NO products to make, store or ship and NO boss..#affiliatemarketing...https://t.co/Uf6fvQXJgV https://t.co/uEktVgPwkk",male
Blown out the water... _Ù÷«,male
Hit the Qur'an Hit the Qur'an,male
Tweeted once about homeopathic doctors and now a bunch of fit moms are following me,male
"Cus the last time i seen yu, i was acting like a fuckin weirdo",female
Martin and Sara are the biggest snakes ever _Ù_Ù,female
These are the beats for the new Hotwingz &amp; Cognac album but they ain't set in stone. Christmas is around the... https://t.co/yKVdM7iOJz,male
Nobody is liking my fucking outfit picture and all that tells me is I need more fashion friends,male
@Cynegeticus Not mad on it Pablito. What are your thoughts wise sir you absolute gent and scholar.,male
"I'm hungry and sleepy... but, mostly sleepy... ima just go eat in my dreams",female
@SydWeiler Looks like I'll have to set up email notifications! I saw nothing between you asking about your mic and the doodle for Scott._ÙÕ_,female
Have you heard Û÷Elijah - The CanvasÛª by W.H.Y N.O.T MUSIC on #SoundCloud? #np https://t.co/9hgpSj9e7u,male
its for the best i hate 2/4 people in this house anyway no family of mine,female
Friend boy will visit me at work just for the smoothies..._Ù÷,female
"Hi @Harry_Styles _Ù÷
@sparksflylarry 's birthday is today!! _Ù_â
so can you make her dream come true,
and follow her? Pls, she loves you _ÙÕ¥ 
-187",female
I asked why and she says she identifies with Shrek.,female
I'll say theres a lot of situations where context really matters and its ignored. Blackface isn't one of those situations. Fuck context.,male
"Weekend in London (well, Bexleyheath) has been ace - Bodean's, South Bank, Mudchute Farm and then Millwall tomorrow. Whoop!",female
Follow your dreams and the rest will come,male
@JakeBoys I want to do the exact same thing! I've been chasing this dream for so long and nothing has gone my way:( help pls_Ù÷_,male
One StateÛªs Struggle to Make Ends Meet: Why Illinois Is Without a Budget https://t.co/mRYdd7smoa,female
Ermmm wtf is my laptop doing shutting down when I'm in the bath tryna chill + watch gossip girl _Ù÷_,female
"Just cooked steaks, I love dales marinade... Now it's time for Netflix and chill... But I'll actually chill, maybe even nap.",male
Well done House of Lords! Fantastic news for 'Working Families' up and down the country. Thank you.,male
It's just me and @_quineyy left at second plate _Ù÷Ò_Ù÷â,female
there are so many great perks to living alone because you get to do everything yourself and it feels accomplishing,female
Holding on to memories; and I can't let go.,female
I hope Pierre Neuville wins the #wsop ME. love the way stands there like he's waiting for the guy he just busted to high five him.,male
Thank you to the latest sponsors to Transport Evolved. You all rock. :),female
Just had a first real massage and I had knots in places I didn't think knots could be,female
macklemore&amp;ryan lewis//and we danced,male
@pineapplecakes I was in wegmans &amp; they had a pic of the manager and you know what her name is? Fuckin ELAINE.,female
then when they wake up and realize that nigga been the same trash he always been since day 1 and that her pussy didn't change him they start,male
Dark Horse ditches Queen St. for 401 Richmond: Those who work and play in 401 Richmond will soon get one more ... https://t.co/pjiTvIiY3Y,male
Just agree on custody for the real dad and leave the kids alone for now. He hasn't been clean long enough. #DrPhil  #CustodyDrama,female
I've forgotten how it felt before the world fell at our feet,male
No amount of sleep in the world could cure the tiredness i feel.. _Ù_¥ #SLEEPYMONDAYÛ_ https://t.co/IklR4HvqF8,female
"""Don't brake your wrist trying to cook to this shit"" starring Johnny Stephens Co starring lil B and guy fieri",male
@erlking haha maybe. and admittedly i will always be invested in seeing how the human soap opera unfolds. but i dunno. sleep sounds nice too,male
Soooo wanna meet @TheDappy tomorrow!!! Be the best,female
@Itz_Thulz *squeezes and a gropes*,male
"@RealAjaVolkman our school lockers said ""lyon metal"" and i instantly thought of you guys. _Ù÷â_Ù÷ã",female
EU develops PERFORMANCE 3D printed food for elderly and patients with dysphagia https://t.co/U6DRhbMs9v #3dprintiÛ_ https://t.co/391vmXtivm,male
"""Spectre"" world premiere: Daniel Craig and his co-stars certainly looked like special agents in their sophisti... https://t.co/nFN8T1AHwN",female
4 new 'mutes' and counting hahaha,female
I just got done with my song who I am with you and instead of singing it turned out to be kinda rapping I guess,female
@BlckMambaKj I mean he hinted that it's dropping and wats a better time to drop it than Halloween lol,male
@anthonyhc umm. Get home asap. There is a wasp in the bathroom!,female
[Soccer Sweep] - No Rooney and 7 changes: Potential Manchester United XI vs Middlesbrough https://t.co/02uImdySZj,male
"I'm a wandering, popular person and I may be too much for you to handle. Jealousy and rage are right around the corner!",female
Where did the cold gooooo _Ù÷_,female
Bow down and your coffers will fill with wealth. #SaasSaas,male
You'll be pleased to know that we're a long way from this @PeterMoonlight! You need to come and visit! https://t.co/jvHjrVL9vW,female
The fuckery free style that I will be dropping _Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â,male
Daylight savings time the Sunday of a con is a fucking blessing,female
Here's a shoot I did with @seanmcgowanuk this morning. He even walked on water and everythin'!! https://t.co/NodiNji8h0,male
"#â¡Ä_âáÄ_ #gunosy Build a Transforming Workbench, Desk, and Storage Unit https://t.co/AeCi0MCp1U https://t.co/1uLfKFoFOM",female
"Need to become a one hit wonder rapper, then drop out of the game and become a financial planner #That'sTheDream",male
Mahogany Dining Table and Chairs Traditional 7 Piece  North Carolina Furniture - Bid Now! Û_ https://t.co/UG2Yh1TsNE https://t.co/OPnZxw2TFd,male
@sirensophi what the fuck?! Why do you have a pussy in your backpack??,male
@wefail Looking forward to seeing that face all over coverage of the next mass shooting,male
This #musictech panel looks amaaaazing.  Heavy hitters across the board w/ @Flipagram @Fender @MACHINESHOPCO https://t.co/yOuwa6OnMc,female
@reIatabIe thats the girl from the fosters broooo _Ù÷â,female
Amy Schumer: Let&amp;amp;#39;s Talk About The Way We Talk About Women And Sex | 22 https://t.co/IMFNJQ92R4 #amyschumer,female
There's a certain wrestling website I frequent and every time I visit it they try and talk me into also visiting a porno website.,male
I haven't been alone in weeks and I don't feel well,male
"And never knowin what you could've been &amp; not seein that lovin you, is what I was trying to do https://t.co/jbor252uyR",female
"When you ask a yes or no question and they answer with ""ok""..._Ù÷Ô",female
I just welded the Weld of the Day in W.E.L.D.E.R.: TIMID! #weldoftheday https://t.co/SrNrg2IQa8,male
"You're more incredible than u know
And u deserve more than u think.",male
@dmsilva_ I messaged her and called her out _Ù÷â,female
"this city looks so pretty do you wanna burn it with me?
til the skies bleed ashes and the fucking skyline crashes.",female
Yeah I'd 100% break up and get wasted  https://t.co/23uGzNNtft,male
"#BADASS!!!! Yall wanna study the roots of ""Latin"" American dance? Here's some research for you #Afrikan #congo... https://t.co/DgqNSL4sh9",female
Last period of the day. Don't know if I can make it..,male
&amp; use them all at once and it'll still look neat lol  https://t.co/R35yClNFd0,female
"Hii @Harry_Styles
How was your day? You deserve 
all the happiness, thank you 
for your kind and caring heart.
Mind following me?
-30.864",female
"""lol! @toluogunlesi: OBJ will beat WS sha. No doubt. (And I'm not even suggesting the gun is mightier than the pen, lol)""",male
and we love them too until the end _ÙÕ÷ @5SOS_Daily https://t.co/077f1hfq3f,female
"@HuntAmber take a picture love, it's easier and less one consuming",female
"Honestly, I have to bite my tongue when people talk about being good and bad with food. Amazing, delicious food is not always healthy.",female
"They gonna run back to me, 'cause I'm the best baby that they never gotta keep_ÙÕÜ",female
@AnneMAgnew @lexduncan i also relate to the ratty drug-addicted illiterate janitor,male
"You are, after all, what you think. Your emotions are the slaves to your thoughts, and you are the slave to your... https://t.co/SSLsIKw8Oo",female
"#talkradio Laughter, a good glass of #wine, and an econo-sized box of Milk Duds are the path to true zen. Listen now https://t.co/DJhVqLwL0K",male
so I fell on my way down the stairs today LMAO,female
"My coffee, cinta Ibadah and me. That coffee taste good tho! #nightshift https://t.co/vHktnu3qnw",female
"I will say this.

Thackery is the first of my characters to have sex. https://t.co/ybPuJuV7V8",female
@LWOSMattPollard @TJZaremba maybe try the Univision App?? Not sure if you need to pay.,male
@WolfeDavis210 @newtgingrich Too bad that decision was made in 2011 and had nothing to do with trump,male
